,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
2779,14,Sachsen,23,160,7577,50.44,150.22
2780,14,Sachsen,23,170,6887,46.98,146.59
2781,14,Sachsen,23,200,7221,69.06,104.56
2782,14,Sachsen,23,245,2903,56.08,51.77
2783,14,Sachsen,23,280,2942,17.31,169.96
2784,14,Sachsen,23,310,4751,64.13,74.08
2785,14,Sachsen,23,320,64674,102.11,633.38
2786,14,Sachsen,23,330,2460,36.64,67.14
2787,14,Sachsen,23,360,6167,26.88,229.43
2788,14,Sachsen,23,365,4009,67.34,59.53
2789,14,Sachsen,23,380,2725,20.37,133.78
2790,14,Sachsen,23,450,5718,121.63,47.01
2791,14,Sachsen,23,5107,10229,71.62,142.82
2792,14,Sachsen,23,5120,5112,26.72,191.32
2793,14,Sachsen,23,5122,13650,163.69,83.39
2794,14,Sachsen,23,5125,21918,56.33,389.1
2795,14,Sachsen,23,5131,4185,94.62,44.23
2796,14,Sachsen,23,5134,9723,77.23,125.9
2797,14,Sachsen,23,5402,4770,51.44,92.73
2798,14,Sachsen,24,20,4795,39.86,120.3
2799,14,Sachsen,24,60,4939,22.6,218.54
2800,14,Sachsen,24,70,3793,9.69,391.43
2801,14,Sachsen,24,80,21821,51.62,422.72
2802,14,Sachsen,24,90,4482,36.7,122.13
2803,14,Sachsen,24,120,14168,18.58,762.54
2804,14,Sachsen,24,140,3452,36.37,94.91
2805,14,Sachsen,24,150,2411,22.62,106.59
2806,14,Sachsen,24,170,6117,27.33,223.82
2807,14,Sachsen,24,200,10778,49.7,216.86
2808,14,Sachsen,24,210,3798,16.89,224.87
2809,14,Sachsen,24,230,5736,14.68,390.74
2810,14,Sachsen,24,250,7164,21.25,337.13
2811,14,Sachsen,24,300,20668,65.62,314.96
2812,14,Sachsen,24,310,3525,20.68,170.45
2813,14,Sachsen,24,320,9619,12.65,760.4
2814,14,Sachsen,24,330,87020,102.58,848.31
2815,14,Sachsen,24,5104,20011,74.52,268.53
2816,14,Sachsen,24,5111,12157,104.52000000000001,116.31
2817,14,Sachsen,24,5114,25929,60.32,429.86
2818,14,Sachsen,24,5118,14763,35.239999999999995,418.93
2819,14,Sachsen,24,5128,16465,51.550000000000004,319.4
2820,14,Sachsen,24,5135,6638,54.19,122.49
2821,14,Sachsen,25,10,4790,35.87,133.54
2822,14,Sachsen,25,20,38084,66.67,571.23
2823,14,Sachsen,25,30,6281,59.86,104.93
2824,14,Sachsen,25,60,2586,31.9,81.07
