Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;010535391069;Koberg;791;e;11,98;e;66;e
;010535391077;Kühsen;358;e;7,28;e;49;e
;010535391079;Labenz;882;e;5,75;e;153;e
;010535391081;Lankau;462;e;19,12;e;24;e
;010535391085;Linau;1222;e;9,66;e;127;e
;010535391086;Lüchow;307;e;4,61;e;67;e
;010535391096;Nusse;1176;e;6,22;e;189;e
;010535391097;Panten;651;e;13,83;e;47;e
;010535391099;Poggensee;363;e;5,44;e;67;e
;010535391101;Ritzerau;307;e;11,11;e;28;e
;010535391108;Sandesneben;1886;e;6,13;e;308;e
;010535391109;Schiphorst;681;e;8,15;e;84;e
;010535391112;Schönberg (Kreis Herzogtum Lauenburg);1449;e;14,77;e;98;e
;010535391114;Schürensöhlen;158;e;2,75;e;57;e
;010535391118;Siebenbäumen;607;e;8,82;e;69;e
;010535391121;Sirksfelde;333;e;8,62;e;39;e
;010535391122;Steinhorst (Kreis Herzogtum Lauenburg);564;e;16,29;e;35;e
;010535391124;Stubben (Kreis Herzogtum Lauenburg);381;e;5,33;e;71;e
;010535391127;Walksfelde;209;e;3,51;e;60;e
;010535391130;Wentorf (Amt Sandesneben);717;e;4,99;e;144;e
;010540033033;Friedrichstadt, Stadt;2614;e;4,02;e;650;e
;010540056056;Husum, Stadt;23628;e;25,80;e;916;e
;010540108108;Reußenköge;311;e;45,91;e;7;e
;010540138138;Tönning, Stadt;4789;e;44,43;e;108;e
;010540168168;Sylt;14579;e;57,31;e;254;e
;010545417035;Garding, Kirchspiel;326;e;14,89;e;22;e
;010545417036;Garding, Stadt;2771;e;3,06;e;906;e
;010545417040;Grothusenkoog;25;e;3,27;e;8;e
;010545417063;Katharinenheerd;157;e;8,41;e;19;e
;010545417072;Kotzenbüll;188;e;7,77;e;24;e
;010545417090;Norderfriedrichskoog;54;e;5,31;e;10;e
;010545417095;Oldenswort;1237;e;45,84;e;27;e
;010545417100;Osterhever;223;e;18,50;e;12;e
;010545417104;Poppenbüll;236;e;15,52;e;15;e
;010545417113;Sankt Peter-Ording;3809;e;28,35;e;134;e
;010545417134;Tating;999;e;29,49;e;34;e
;010545417135;Tetenbüll;645;e;36,42;e;18;e
;010545417140;Tümlauer Koog;106;e;6,20;e;17;e
;010545417145;Vollerwiek;208;e;4,62;e;45;e
;010545417148;Welt;191;e;8,20;e;23;e
;010545417150;Westerhever;97;e;13,32;e;7;e
;010545439046;Hörnum (Sylt);854;e;5,64;e;151;e
;010545439061;Kampen (Sylt);533;e;8,43;e;63;e
;010545439078;List auf Sylt;1404;e;18,42;e;76;e
;010545439149;Wenningstedt-Braderup (Sylt);1441;e;6,16;e;234;e
;010545453003;Ahrenviöl;524;e;10,11;e;52;e
;010545453004;Ahrenviölfeld;224;e;7,29;e;31;e
;010545453011;Behrendorf;551;e;15,29;e;36;e
;010545453013;Bondelum;186;e;9,18;e;20;e
;010545453041;Haselund;920;e;12,79;e;72;e
;010545453057;Immenstedt (Kreis Nordfriesland);671;e;14,61;e;46;e
;010545453079;Löwenstedt;705;e;19,62;e;36;e
;010545453092;Norstedt;391;e;13,50;e;29;e
;010545453101;Oster-Ohrstedt;665;e;11,29;e;59;e
;010545453118;Schwesing;937;e;15,63;e;60;e
;010545453123;Sollwitt;285;e;10,95;e;26;e
;010545453144;Viöl;2248;e;18,96;e;119;e
;010545453152;Wester-Ohrstedt;1078;e;18,54;e;58;e
;010545459039;Gröde;9;e;2,52;e;4;e
;010545459050;Hallig Hooge;100;e;5,78;e;17;e
;010545459074;Langeneß;136;e;11,57;e;12;e
;010545459103;Pellworm;1231;e;37,45;e;33;e
;010545488005;Alkersum;392;e;9,07;e;43;e
;010545488015;Borgsum;305;e;5,51;e;55;e
;010545488025;Dunsum;77;e;2,72;e;28;e
;010545488083;Midlum (Kreis Nordfriesland);467;e;8,50;e;55;e
;010545488085;Nebel;921;e;11,95;e;77;e
;010545488087;Nieblum;582;e;7,86;e;74;e
;010545488089;Norddorf auf Amrum;571;e;5,89;e;97;e
;010545488094;Oevenum;454;e;10,87;e;42;e
;010545488098;Oldsum;561;e;13,31;e;42;e
;010545488129;Süderende;178;e;2,59;e;69;e
;010545488143;Utersum;412;e;5,26;e;78;e
;010545488158;Witsum;41;e;1,59;e;26;e
;010545488160;Wittdün auf Amrum;814;e;2,61;e;312;e
;010545488163;Wrixum;561;e;7,56;e;74;e
;010545488164;Wyk auf Föhr, Stadt;4217;e;8,08;e;522;e
;010545489001;Achtrup;1534;e;29,90;e;51;e
;010545489009;Aventoft;406;e;14,47;e;28;e
;010545489016;Bosbüll;260;e;6,33;e;41;e
;010545489017;Braderup;662;e;13,35;e;50;e
;010545489018;Bramstedtlund;212;e;13,85;e;15;e
;010545489022;Dagebüll;918;e;36,92;e;25;e
;010545489027;Ellhöft;105;e;7,82;e;13;e
;010545489034;Friedrich-Wilhelm-Lübke-Koog;169;e;13,49;e;13;e
;010545489048;Holm (Kreis Nordfriesland);93;e;4,00;e;23;e
;010545489055;Humptrup;756;e;16,99;e;44;e
;010545489062;Karlum;214;e;14,46;e;15;e
;010545489065;Klanxbüll;1059;e;10,63;e;100;e
;010545489068;Klixbüll;1058;e;17,44;e;61;e
;010545489073;Ladelund;1405;e;24,09;e;58;e
;010545489076;Leck;7832;e;29,79;e;263;e
;010545489077;Lexgaard;55;e;5,24;e;10;e
;010545489086;Neukirchen (Kreis Nordfriesland);1129;e;31,58;e;36;e
;010545489088;Niebüll, Stadt;10163;e;30,63;e;332;e
;010545489109;Risum-Lindholm;3912;e;36,03;e;109;e
;010545489110;Rodenäs;413;e;19,84;e;21;e
;010545489124;Sprakebüll;267;e;11,37;e;23;e
;010545489125;Stadum;915;e;19,74;e;46;e
;010545489126;Stedesand;876;e;15,19;e;58;e
;010545489131;Süderlügum;2373;e;26,59;e;89;e
;010545489136;Tinningstedt;238;e;8,91;e;27;e
;010545489142;Uphusum;358;e;7,06;e;51;e
;010545489154;Westre;350;e;19,14;e;18;e
;010545489165;Galmsbüll;574;e;49,05;e;12;e
;010545489166;Emmelsbüll-Horsbüll;915;e;35,73;e;26;e
;010545489167;Enge-Sande;1186;e;24,82;e;48;e
;010545492007;Arlewatt;341;e;5,57;e;61;e
;010545492023;Drage (Kreis Nordfriesland);651;e;16,33;e;40;e
;010545492026;Elisabeth-Sophien-Koog;63;e;5,18;e;12;e
;010545492032;Fresendelf;85;e;2,60;e;33;e
;010545492042;Hattstedt;2605;e;7,01;e;372;e
;010545492043;Hattstedtermarsch;297;e;35,29;e;8;e
;010545492052;Horstedt (Kreis Nordfriesland);825;e;11,70;e;71;e
;010545492054;Hude;176;e;3,54;e;50;e
;010545492070;Koldenbüttel;935;e;25,80;e;36;e
;010545492084;Mildstedt;3993;e;8,71;e;458;e
;010545492091;Nordstrand;2258;e;57,26;e;39;e
;010545492096;Oldersbek;754;e;10,82;e;70;e
;010545492097;Olderup;463;e;9,94;e;47;e
;010545492099;Ostenfeld (Husum);1553;e;27,67;e;56;e
;010545492105;Ramstedt;432;e;5,42;e;80;e
;010545492106;Rantrum;1953;e;13,69;e;143;e
;010545492116;Schwabstedt;1340;e;19,64;e;68;e
;010545492119;Seeth;611;e;13,76;e;44;e
;010545492120;Simonsberg;837;e;17,48;e;48;e
;010545492130;Süderhöft;23;e;2,60;e;9;e
;010545492132;Südermarsch;142;e;30,23;e;5;e
;010545492141;Uelvesbüll;303;e;10,23;e;30;e
;010545492156;Winnert;722;e;18,88;e;38;e
;010545492157;Wisch (Kreis Nordfriesland);111;e;3,05;e;36;e
;010545492159;Wittbek;792;e;19,91;e;40;e
;010545492161;Witzwort;1027;e;28,14;e;36;e
;010545492162;Wobbenbüll;458;e;1,69;e;271;e
;010545494002;Ahrenshöft;532;e;8,79;e;61;e
;010545494006;Almdorf;544;e;5,70;e;95;e
;010545494010;Bargum;664;e;17,29;e;38;e
;010545494012;Bohmstedt;767;e;13,35;e;57;e
;010545494014;Bordelum;2073;e;34,71;e;60;e
;010545494019;Bredstedt, Stadt;5608;e;9,75;e;575;e
;010545494020;Breklum;2385;e;10,07;e;237;e
;010545494024;Drelsdorf;1278;e;17,70;e;72;e
;010545494037;Goldebek;374;e;10,18;e;37;e
;010545494038;Goldelund;414;e;12,02;e;34;e
;010545494045;Högel;470;e;16,28;e;29;e
;010545494059;Joldelund;819;e;19,12;e;43;e
;010545494071;Kolkerheide;75;e;2,10;e;36;e
;010545494075;Langenhorn;3330;e;47,40;e;70;e
;010545494080;Lütjenholm;349;e;10,71;e;33;e
;010545494093;Ockholm;310;e;18,64;e;17;e
;010545494121;Sönnebüll;296;e;4,29;e;69;e
;010545494128;Struckum;1029;e;8,92;e;115;e
;010545494146;Vollstedt;176;e;6,18;e;28;e
;010550001001;Ahrensbök;8106;e;95,37;e;85;e
;010550004004;Bad Schwartau, Stadt;20108;e;18,39;e;1093;e
;010550007007;Bosau;3363;e;64,25;e;52;e
;010550010010;Dahme;1244;e;9,11;e;137;e
;010550012012;Eutin, Stadt;17057;e;41,39;e;412;e
;010550016016;Grömitz;6895;e;51,09;e;135;e
;010550018018;Grube;1028;e;20,21;e;51;e
;010550021021;Heiligenhafen, Stadt;9503;e;18,32;e;519;e
;010550025025;Kellenhusen (Ostsee);1143;e;8,17;e;140;e
;010550028028;Malente;10763;e;69,07;e;156;e
;010550032032;Neustadt in Holstein, Stadt;15269;e;19,73;e;774;e
;010550033033;Oldenburg in Holstein, Stadt;9718;e;39,69;e;245;e
;010550035035;Ratekau;15303;e;59,62;e;257;e
;010550040040;Stockelsdorf;16386;e;56,70;e;289;e
;010550041041;Süsel;5005;e;75,29;e;66;e
;010550042042;Timmendorfer Strand;8390;e;20,13;e;417;e
;010550044044;Scharbeutz;11634;e;52,54;e;221;e
;010550046046;Fehmarn, Stadt;13291;e;185,50;e;72;e
;010555543014;Göhl;1097;e;21,24;e;52;e
;010555543015;Gremersdorf;1634;e;45,76;e;36;e
;010555543017;Großenbrode;2195;e;20,99;e;105;e
;010555543022;Heringsdorf (Kreis Ostholstein);1137;e;29,55;e;38;e
;010555543031;Neukirchen (Kreis Ostholstein);1228;e;28,60;e;43;e
;010555543043;Wangels;2169;e;67,12;e;32;e
