,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,BEZ,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
97,1,Schleswig-Holstein,51,5175,Schrum,74,5.01,14.77
98,1,Schleswig-Holstein,51,5175,Tensbüttel-Röst,647,19.36,33.42
99,1,Schleswig-Holstein,51,5175,Wennbüttel,103,4.59,22.44
100,1,Schleswig-Holstein,51,5175,Windbergen,773,17.31,44.66
101,1,Schleswig-Holstein,51,5175,Wolmersdorf,318,6.11,52.05
102,1,Schleswig-Holstein,51,5178,Büsum,4911,8.48,579.13
103,1,Schleswig-Holstein,51,5178,Büsumer Deichhausen,343,2.87,119.51
104,1,Schleswig-Holstein,51,5178,Friedrichsgabekoog,52,8.62,6.03
105,1,Schleswig-Holstein,51,5178,Hedwigenkoog,218,16.36,13.33
106,1,Schleswig-Holstein,51,5178,Hellschen-Heringsand-Unterschaar,164,7.02,23.36
107,1,Schleswig-Holstein,51,5178,Hillgroven,57,3.6,15.83
108,1,Schleswig-Holstein,51,5178,Norddeich,434,6.9,62.9
109,1,Schleswig-Holstein,51,5178,Oesterdeichstrich,310,4.64,66.81
110,1,Schleswig-Holstein,51,5178,Oesterwurth,241,14.19,16.98
111,1,Schleswig-Holstein,51,5178,Reinsbüttel,389,6.83,56.95
112,1,Schleswig-Holstein,51,5178,Schülp,369,9.27,39.81
113,1,Schleswig-Holstein,51,5178,Strübbel,95,4.4,21.59
114,1,Schleswig-Holstein,51,5178,Süderdeich,435,6.64,65.51
115,1,Schleswig-Holstein,51,5178,Warwerort,226,4.58,49.34
116,1,Schleswig-Holstein,51,5178,"Wesselburen, Stadt",3346,5.13,652.24
117,1,Schleswig-Holstein,51,5178,Wesselburener Deichhausen,107,5.07,21.1
118,1,Schleswig-Holstein,51,5178,Wesselburenerkoog,165,21.89,7.54
119,1,Schleswig-Holstein,51,5178,Westerdeichstrich,797,7.5,106.27
120,1,Schleswig-Holstein,53,32,"Geesthacht, Stadt",32343,33.25,972.72
121,1,Schleswig-Holstein,53,83,"Lauenburg/ Elbe, Stadt",11395,9.56,1191.95
122,1,Schleswig-Holstein,53,90,"Mölln, Stadt",19392,25.05,774.13
123,1,Schleswig-Holstein,53,100,"Ratzeburg, Stadt",14873,30.29,491.02
124,1,Schleswig-Holstein,53,116,"Schwarzenbek, Stadt",16889,11.55,1462.25
125,1,Schleswig-Holstein,53,129,Wentorf bei Hamburg,13524,6.87,1968.56
126,1,Schleswig-Holstein,53,5308,Behlendorf,405,10.25,39.51
127,1,Schleswig-Holstein,53,5308,Berkenthin,2171,10.34,209.96
128,1,Schleswig-Holstein,53,5308,Bliestorf,631,10.35,60.97
129,1,Schleswig-Holstein,53,5308,Düchelsdorf,154,3.01,51.16
130,1,Schleswig-Holstein,53,5308,Göldenitz,231,5.06,45.65
131,1,Schleswig-Holstein,53,5308,Kastorf,1165,6.9,168.84
132,1,Schleswig-Holstein,53,5308,Klempau,597,10.07,59.29
133,1,Schleswig-Holstein,53,5308,Krummesse,1629,3.35,486.27
134,1,Schleswig-Holstein,53,5308,Niendorf bei Berkenthin,193,3.99,48.37
135,1,Schleswig-Holstein,53,5308,Rondeshagen,794,9.51,83.49
136,1,Schleswig-Holstein,53,5308,Sierksrade,441,4.0,110.25
137,1,Schleswig-Holstein,53,5313,Alt-Mölln,851,6.44,132.14
138,1,Schleswig-Holstein,53,5313,Borstorf,315,8.64,36.46
139,1,Schleswig-Holstein,53,5313,Breitenfelde,2099,12.54,167.38
140,1,Schleswig-Holstein,53,5313,Bälau,225,6.5,34.62
141,1,Schleswig-Holstein,53,5313,Grambek,534,12.66,42.18
142,1,Schleswig-Holstein,53,5313,Hornbek,226,5.89,38.37
143,1,Schleswig-Holstein,53,5313,Lehmrade,591,11.4,51.84
144,1,Schleswig-Holstein,53,5313,Niendorf/ Stecknitz,697,8.41,82.88
145,1,Schleswig-Holstein,53,5313,Schretstaken,512,8.47,60.45
146,1,Schleswig-Holstein,53,5313,Talkau,543,4.88,111.27
147,1,Schleswig-Holstein,53,5313,Woltersdorf (Kreis Herzogtum Lauenburg),350,7.9,44.3
148,1,Schleswig-Holstein,53,5318,Besenthal,92,12.65,7.27
149,1,Schleswig-Holstein,53,5318,Bröthen,330,10.69,30.87
150,1,Schleswig-Holstein,53,5318,Büchen,6366,16.85,377.8
