Tabelle: 1000X-0001
Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden);;;;
Bevölkerung kompakt;;;;;;;
09.05.2011;;;;;;;
;;Personen;;Fläche;;Bevölkerungsdichte;
;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
010535373049;Hamfelde (Kreis Herzogtum Lauenburg);466;e;3,47;e;134;e
010535373052;Havekost;159;e;5,91;e;27;e
010535373059;Kankelau;215;e;4,21;e;51;e
010535373060;Kasseburg;558;e;7,89;e;71;e
010535373070;Köthel (Kreis Herzogtum Lauenburg);277;e;1,52;e;182;e
010535373071;Kollow;617;e;8,21;e;75;e
010535373076;Kuddewörde;1346;e;7,34;e;183;e
010535373089;Möhnsen;548;e;7,47;e;73;e
010535373091;Mühlenrade;187;e;3,74;e;50;e
010535373106;Sahms;375;e;5,94;e;63;e
010535391025;Duvensee;532;e;12,40;e;43;e
010535391038;Grinau;306;e;2,74;e;112;e
010535391039;Groß Boden;201;e;2,70;e;74;e
010535391044;Groß Schenkenberg;540;e;6,52;e;83;e
010535391068;Klinkrade;589;e;7,40;e;80;e
010535391069;Koberg;774;e;11,98;e;65;e
010535391077;Kühsen;377;e;7,28;e;52;e
010535391079;Labenz;874;e;5,75;e;152;e
010535391081;Lankau;484;e;19,12;e;25;e
010535391085;Linau;1186;e;9,66;e;123;e
010535391086;Lüchow;287;e;4,62;e;62;e
010535391096;Nusse;1085;e;6,22;e;174;e
010535391097;Panten;638;e;13,83;e;46;e
010535391099;Poggensee;337;e;5,44;e;62;e
010535391101;Ritzerau;274;e;11,11;e;25;e
010535391108;Sandesneben;1694;e;6,13;e;276;e
010535391109;Schiphorst;615;e;8,15;e;75;e
010535391112;Schönberg (Kreis Herzogtum Lauenburg);1389;e;14,78;e;94;e
010535391114;Schürensöhlen;145;e;2,75;e;53;e
010535391118;Siebenbäumen;638;e;8,82;e;72;e
010535391121;Sirksfelde;312;e;8,63;e;36;e
010535391122;Steinhorst (Kreis Herzogtum Lauenburg);571;e;16,37;e;35;e
010535391124;Stubben (Kreis Herzogtum Lauenburg);404;e;5,24;e;77;e
010535391127;Walksfelde;186;e;3,51;e;53;e
010535391130;Wentorf (Amt Sandesneben);690;e;4,99;e;138;e
010540033033;Friedrichstadt, Stadt;2590;e;4,03;e;643;e
010540056056;Husum, Stadt;22215;e;25,81;e;861;e
010540108108;Reußenköge;350;e;45,91;e;8;e
010540138138;Tönning, Stadt;4955;e;44,41;e;112;e
010540168168;Sylt;13811;e;57,32;e;241;e
010545417035;Garding, Kirchspiel;387;e;14,89;e;26;e
010545417036;Garding, Stadt;2504;e;3,06;e;818;e
010545417040;Grothusenkoog;22;e;3,27;e;7;e
010545417063;Katharinenheerd;179;e;8,40;e;21;e
010545417072;Kotzenbüll;227;e;7,77;e;29;e
010545417090;Norderfriedrichskoog;48;e;5,31;e;9;e
010545417095;Oldenswort;1274;e;45,84;e;28;e
010545417100;Osterhever;252;e;18,46;e;14;e
010545417104;Poppenbüll;237;e;15,52;e;15;e
010545417113;Sankt Peter-Ording;3916;e;28,32;e;138;e
010545417134;Tating;953;e;29,49;e;32;e
010545417135;Tetenbüll;660;e;36,48;e;18;e
010545417140;Tümlauer Koog;113;e;6,20;e;18;e
010545417145;Vollerwiek;205;e;4,62;e;44;e
010545417148;Welt;226;e;8,20;e;28;e
010545417150;Westerhever;127;e;13,32;e;10;e
010545439046;Hörnum (Sylt);904;e;5,64;e;160;e
010545439061;Kampen (Sylt);510;e;8,42;e;61;e
010545439078;List;1549;e;18,47;e;84;e
010545439149;Wenningstedt-Braderup (Sylt);1408;e;6,16;e;229;e
010545453003;Ahrenviöl;519;e;10,11;e;51;e
010545453004;Ahrenviölfeld;235;e;7,29;e;32;e
010545453011;Behrendorf;579;e;15,29;e;38;e
010545453013;Bondelum;202;e;9,18;e;22;e
010545453041;Haselund;910;e;12,79;e;71;e
010545453057;Immenstedt (Kreis Nordfriesland);637;e;14,61;e;44;e
010545453079;Löwenstedt;658;e;19,62;e;34;e
010545453092;Norstedt;407;e;13,50;e;30;e
010545453101;Oster-Ohrstedt;642;e;11,29;e;57;e
010545453118;Schwesing;915;e;15,63;e;59;e
010545453123;Sollwitt;299;e;10,95;e;27;e
010545453144;Viöl;2036;e;18,95;e;107;e
010545453152;Wester-Ohrstedt;1041;e;18,54;e;56;e
010545459039;Gröde;13;e;2,52;e;5;e
010545459050;Hallig Hooge;109;e;5,78;e;19;e
010545459074;Langeneß;135;e;11,57;e;12;e
010545459103;Pellworm;1201;e;37,44;e;32;e
010545488005;Alkersum;418;e;9,07;e;46;e
010545488015;Borgsum;347;e;5,51;e;63;e
010545488025;Dunsum;66;e;2,72;e;24;e
010545488083;Midlum (Kreis Nordfriesland);408;e;8,50;e;48;e
010545488085;Nebel;982;e;11,96;e;82;e
010545488087;Nieblum;625;e;7,86;e;80;e
010545488089;Norddorf auf Amrum;592;e;5,90;e;100;e
010545488094;Oevenum;454;e;10,87;e;42;e
010545488098;Oldsum;567;e;13,31;e;43;e
010545488129;Süderende;195;e;2,59;e;75;e
010545488143;Utersum;420;e;5,26;e;80;e
010545488158;Witsum;44;e;1,59;e;28;e
010545488160;Wittdün auf Amrum;737;e;2,60;e;283;e
010545488163;Wrixum;655;e;7,55;e;87;e
010545488164;Wyk auf Föhr, Stadt;4335;e;8,01;e;541;e
010545489001;Achtrup;1510;e;29,90;e;51;e
010545489009;Aventoft;473;e;14,47;e;33;e
010545489016;Bosbüll;223;e;6,33;e;35;e
010545489017;Braderup;658;e;13,35;e;49;e
010545489018;Bramstedtlund;193;e;13,85;e;14;e
010545489022;Dagebüll;915;e;36,92;e;25;e
010545489027;Ellhöft;113;e;7,82;e;14;e
010545489034;Friedrich-Wilhelm-Lübke-Koog;180;e;13,49;e;13;e
010545489048;Holm (Kreis Nordfriesland);85;e;4,00;e;21;e
010545489055;Humptrup;734;e;16,99;e;43;e
010545489062;Karlum;220;e;14,46;e;15;e
010545489065;Klanxbüll;966;e;10,63;e;91;e
010545489068;Klixbüll;934;e;17,44;e;54;e
010545489073;Ladelund;1397;e;24,09;e;58;e
010545489076;Leck;7739;e;29,79;e;260;e
010545489077;Lexgaard;53;e;5,24;e;10;e
010545489086;Neukirchen (Kreis Nordfriesland);1241;e;31,58;e;39;e
010545489088;Niebüll, Stadt;9582;e;30,63;e;313;e
010545489109;Risum-Lindholm;3610;e;36,03;e;100;e
010545489110;Rodenäs;449;e;19,84;e;23;e
010545489124;Sprakebüll;236;e;11,37;e;21;e
010545489125;Stadum;991;e;19,74;e;50;e
010545489126;Stedesand;862;e;15,19;e;57;e
010545489131;Süderlügum;2290;e;26,59;e;86;e
010545489136;Tinningstedt;237;e;8,91;e;27;e
010545489142;Uphusum;388;e;7,06;e;55;e
010545489154;Westre;387;e;19,13;e;20;e
010545489165;Galmsbüll;645;e;49,05;e;13;e
010545489166;Emmelsbüll-Horsbüll;982;e;35,73;e;27;e
010545489167;Enge-Sande;1116;e;24,82;e;45;e
010545492007;Arlewatt;334;e;5,57;e;60;e
010545492023;Drage (Kreis Nordfriesland);627;e;16,33;e;38;e
010545492026;Elisabeth-Sophien-Koog;37;e;5,18;e;7;e
010545492032;Fresendelf;107;e;2,60;e;41;e
010545492042;Hattstedt;2542;e;7,00;e;363;e
010545492043;Hattstedtermarsch;304;e;35,26;e;9;e
010545492052;Horstedt (Kreis Nordfriesland);734;e;11,70;e;63;e
010545492054;Hude;202;e;3,54;e;57;e
010545492070;Koldenbüttel;915;e;25,80;e;35;e
010545492084;Mildstedt;3781;e;8,71;e;434;e
010545492091;Nordstrand;2273;e;57,21;e;40;e
010545492096;Oldersbek;650;e;10,82;e;60;e
010545492097;Olderup;436;e;9,94;e;44;e
010545492099;Ostenfeld (Husum);1531;e;27,67;e;55;e
010545492105;Ramstedt;450;e;5,42;e;83;e
010545492106;Rantrum;1636;e;13,69;e;120;e
010545492116;Schwabstedt;1318;e;19,64;e;67;e
010545492119;Seeth;592;e;13,56;e;44;e
010545492120;Simonsberg;788;e;17,09;e;46;e
010545492130;Süderhöft;21;e;2,60;e;8;e
010545492132;Südermarsch;167;e;30,23;e;6;e
010545492141;Uelvesbüll;283;e;10,23;e;28;e
010545492156;Winnert;720;e;18,88;e;38;e
010545492157;Wisch (Kreis Nordfriesland);114;e;3,05;e;37;e
010545492159;Wittbek;808;e;19,91;e;41;e
010545492161;Witzwort;1027;e;28,14;e;36;e
010545492162;Wobbenbüll;478;e;1,69;e;283;e
010545494002;Ahrenshöft;515;e;8,79;e;59;e
010545494006;Almdorf;558;e;5,70;e;98;e
010545494010;Bargum;604;e;17,29;e;35;e
010545494012;Bohmstedt;733;e;13,35;e;55;e
010545494014;Bordelum;2046;e;34,71;e;59;e
010545494019;Bredstedt, Stadt;5083;e;9,75;e;521;e
010545494020;Breklum;2356;e;10,06;e;234;e
010545494024;Drelsdorf;1259;e;17,70;e;71;e
010545494037;Goldebek;337;e;10,18;e;33;e
010545494038;Goldelund;413;e;12,02;e;34;e
010545494045;Högel;458;e;16,28;e;28;e
010545494059;Joldelund;758;e;19,12;e;40;e
010545494071;Kolkerheide;58;e;2,10;e;28;e
010545494075;Langenhorn;3087;e;47,40;e;65;e
010545494080;Lütjenholm;328;e;10,71;e;31;e
010545494093;Ockholm;343;e;18,64;e;18;e
010545494121;Sönnebüll;267;e;4,29;e;62;e
010545494128;Struckum;993;e;8,92;e;111;e
010545494146;Vollstedt;180;e;6,18;e;29;e
010550001001;Ahrensbök;8417;e;95,37;e;88;e
010550004004;Bad Schwartau, Stadt;19436;e;18,39;e;1057;e
010550007007;Bosau;3472;e;64,25;e;54;e
010550010010;Dahme;1246;e;9,11;e;137;e
010550012012;Eutin, Stadt;16449;e;41,40;e;397;e
010550016016;Grömitz;6995;e;51,11;e;137;e
010550018018;Grube;1018;e;20,20;e;50;e
010550021021;Heiligenhafen, Stadt;9078;e;18,32;e;496;e
010550025025;Kellenhusen (Ostsee);1036;e;8,17;e;127;e
010550028028;Malente;10523;e;69,06;e;152;e
010550032032;Neustadt in Holstein, Stadt;15024;e;19,74;e;761;e
010550033033;Oldenburg in Holstein, Stadt;9732;e;39,68;e;245;e
010550035035;Ratekau;15217;e;59,60;e;255;e
010550040040;Stockelsdorf;16517;e;56,70;e;291;e
010550041041;Süsel;5347;e;75,31;e;71;e
010550042042;Timmendorfer Strand;8790;e;20,13;e;437;e
010550044044;Scharbeutz;10731;e;52,53;e;204;e
010550046046;Fehmarn, Stadt;12483;e;185,48;e;67;e
010555543014;Göhl;1175;e;21,20;e;55;e
010555543015;Gremersdorf;1486;e;45,76;e;32;e
010555543017;Großenbrode;2104;e;20,98;e;100;e
010555543022;Heringsdorf (Kreis Ostholstein);1103;e;29,42;e;37;e
010555543031;Neukirchen (Kreis Ostholstein);1210;e;28,50;e;42;e
010555543043;Wangels;2193;e;67,12;e;33;e
010555546006;Beschendorf;528;e;8,54;e;62;e
010555546011;Damlos;678;e;9,35;e;73;e
010555546020;Harmsdorf (Kreis Ostholstein);676;e;17,82;e;38;e
010555546023;Kabelhorst;441;e;5,74;e;77;e
010555546027;Lensahn;5083;e;27,70;e;184;e
010555546029;Manhagen;383;e;9,63;e;40;e
010555546036;Riepsdorf;977;e;25,81;e;38;e
010555591002;Altenkrempe;1039;e;36,64;e;28;e
010555591024;Kasseedorf;1471;e;33,77;e;44;e
010555591037;Schashagen;2183;e;41,46;e;53;e
010555591038;Schönwalde am Bungsberg;2612;e;39,06;e;67;e
010555591039;Sierksdorf;1560;e;19,50;e;80;e
010560002002;Barmstedt, Stadt;9792;e;17,17;e;570;e
010560015015;Elmshorn, Stadt;47459;e;21,37;e;2221;e
010560018018;Halstenbek;16376;e;12,58;e;1302;e
010560025025;Helgoland;1407;e;4,20;e;335;e
010560039039;Pinneberg, Stadt;41137;e;21,54;e;1910;e
010560041041;Quickborn, Stadt;19727;e;43,17;e;457;e
010560043043;Rellingen;13476;e;13,18;e;1022;e
010560044044;Schenefeld, Stadt;18197;e;9,99;e;1822;e
010560048048;Tornesch, Stadt;12626;e;20,61;e;613;e
010560049049;Uetersen, Stadt;17456;e;11,43;e;1527;e
010560050050;Wedel, Stadt;31248;e;33,82;e;924;e
010565616029;Klein Nordende;3013;e;10,79;e;279;e
010565616030;Klein Offenseth-Sparrieshoop;2837;e;16,92;e;168;e
010565616031;Kölln-Reisiek;2817;e;6,77;e;416;e
010565616033;Seester;904;e;11,57;e;78;e
010565616042;Raa-Besenbek;522;e;12,99;e;40;e
010565616045;Seestermühe;950;e;23,35;e;41;e
010565616046;Seeth-Ekholt;838;e;6,89;e;122;e
010565628019;Haselau;1057;e;18,88;e;56;e
010565628020;Haseldorf;1706;e;18,08;e;94;e
010565628027;Hetlingen;1309;e;24,10;e;54;e
010565636006;Bokel (Kreis Pinneberg);628;e;16,02;e;39;e
010565636010;Brande-Hörnerkirchen;1617;e;13,14;e;123;e
010565636038;Osterhorn;397;e;6,38;e;62;e
010565636051;Westerhorn;1297;e;9,37;e;138;e
010565642001;Appen;4899;e;20,28;e;242;e
010565642016;Groß Nordende;694;e;5,64;e;123;e
010565642023;Heidgraben;2447;e;5,38;e;455;e
010565642024;Heist;2818;e;9,96;e;283;e
010565642028;Holm (Kreis Pinneberg);3068;e;16,05;e;191;e
010565642036;Moorrege;4085;e;10,76;e;380;e
010565642037;Neuendeich;528;e;8,54;e;62;e
010565660003;Bevern;612;e;8,04;e;76;e
010565660004;Bilsen;759;e;6,20;e;122;e
010565660008;Bokholt-Hanredder;1232;e;8,56;e;144;e
010565660011;Bullenkuhlen;378;e;3,94;e;96;e
010565660014;Ellerhoop;1443;e;10,80;e;134;e
010565660017;Groß Offenseth-Aspern;398;e;10,56;e;38;e
010565660022;Heede (Kreis Pinneberg);689;e;15,48;e;45;e
